book,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,year
A little pretty pocket-Book.txt,"('noun.person', 422)","('adj.all', 370)","('noun.quantity', 331)","('noun.communication', 298)","('noun.act', 276)","('adv.all', 207)","('noun.artifact', 200)","('noun.cognition', 198)","('noun.attribute', 184)","('noun.state', 163)",1744
Alices Adventuresin Wonderland.txt,"('verb.communication', 771)","('noun.person', 736)","('noun.act', 692)","('noun.artifact', 680)","('adv.all', 678)","('noun.cognition', 655)","('noun.communication', 638)","('noun.quantity', 588)","('adj.all', 542)","('noun.animal', 500)",1866
Charlie And The Chocolate Factory.txt,"('noun.artifact', 1397)","('noun.person', 1070)","('adj.all', 990)","('noun.communication', 980)","('noun.act', 887)","('verb.communication', 822)","('adv.all', 723)","('noun.quantity', 646)","('noun.time', 568)","('noun.body', 562)",1965
coraline.txt,"('noun.artifact', 1535)","('noun.person', 860)","('noun.body', 766)","('adj.all', 722)","('verb.motion', 672)","('noun.act', 653)","('verb.communication', 648)","('adv.all', 620)","('noun.attribute', 600)","('noun.cognition', 512)",2002
Goody two-shoes.txt,"('noun.person', 914)","('noun.communication', 538)","('adj.all', 495)","('noun.quantity', 417)","('noun.act', 383)","('noun.group', 373)","('noun.artifact', 341)","('adv.all', 340)","('noun.cognition', 309)","('noun.attribute', 288)",1766
HEIDI.txt,"('noun.person', 2463)","('adj.all', 1517)","('noun.artifact', 1376)","('adv.all', 1268)","('noun.act', 1265)","('noun.time', 1218)","('verb.communication', 1130)","('noun.communication', 1014)","('noun.cognition', 828)","('verb.motion', 825)",1880
matilda.txt,"('noun.person', 1867)","('noun.artifact', 1320)","('verb.communication', 1135)","('adj.all', 1071)","('noun.act', 1025)","('adv.all', 971)","('noun.communication', 871)","('noun.cognition', 847)","('noun.quantity', 844)","('noun.body', 681)",1988
Peter and Wendy.txt,"('noun.person', 2286)","('noun.artifact', 1636)","('adv.all', 1515)","('adj.all', 1212)","('verb.communication', 1099)","('noun.act', 1078)","('noun.communication', 966)","('noun.cognition', 864)","('noun.time', 728)","('noun.quantity', 722)",1911
The Adventure of Pinocchio.txt,"('noun.artifact', 1336)","('noun.person', 1333)","('adj.all', 1014)","('noun.act', 948)","('noun.quantity', 871)","('noun.time', 827)","('noun.communication', 824)","('noun.body', 800)","('adv.all', 792)","('verb.communication', 761)",1883
The history of sandford and merton.txt,"('noun.person', 5805)","('adj.all', 5476)","('adv.all', 3931)","('noun.act', 3612)","('noun.attribute', 3190)","('noun.communication', 3016)","('noun.cognition', 2964)","('noun.artifact', 2658)","('verb.communication', 2508)","('noun.group', 2446)",1783
The king of the golden river.txt,"('noun.person', 431)","('adj.all', 331)","('noun.artifact', 302)","('noun.act', 254)","('noun.attribute', 249)","('noun.communication', 243)","('noun.quantity', 213)","('adv.all', 207)","('noun.object', 203)","('noun.time', 200)",1841
The Philosopher Stone.txt,"('noun.artifact', 3084)","('noun.person', 3062)","('noun.communication', 2347)","('noun.act', 2096)","('verb.emotion', 2047)","('adj.all', 1899)","('adv.all', 1867)","('verb.communication', 1740)","('noun.cognition', 1586)","('noun.body', 1482)",1997
THE WONDEFUL WIZRD OF OZ.txt,"('noun.person', 1414)","('noun.artifact', 1393)","('adj.all', 1187)","('verb.communication', 926)","('adv.all', 909)","('noun.act', 816)","('noun.body', 775)","('noun.attribute', 737)","('verb.motion', 638)","('noun.location', 618)",1900
Treasure island.txt,"('noun.person', 2606)","('noun.artifact', 2489)","('adj.all', 1673)","('noun.act', 1612)","('adv.all', 1455)","('noun.communication', 1370)","('noun.quantity', 1298)","('noun.cognition', 1264)","('noun.attribute', 1203)","('noun.body', 1201)",1888
Wonder.txt,"('noun.person', 3039)","('noun.cognition', 2300)","('noun.communication', 2240)","('noun.act', 2070)","('verb.communication', 1973)","('noun.artifact', 1968)","('adv.all', 1816)","('noun.time', 1750)","('adj.all', 1613)","('noun.quantity', 1455)",2012
